Category;City;Country_Region;Customer_ID;Customer_Name;Order_Date;Order_ID;Order_Profitable;Postal_Code;Product_ID;Product_Name;Region;Row_ID;Segment;Ship_Date;Ship_Mode;Ship_Status;State;Sub_Category;Days_to_Ship_Actual;Days_to_Ship_Scheduled;Discount;Profit;Quantity;Sales;Sales_Forecast
Furniture;New York City;United States;C0037;Customer 47;2/17/2022;CA-2022-228926;Profitable;14196;FUR-2681;Global Deluxe High-Back Manager's Chair;East;1;Corporate;2/25/2022;Standard Class;Shipped on Time;California;Furniture;4;2;0.15%;93.92;5;434.26;413.98
Furniture;Columbus;United States;C0044;Customer 83;1/29/2022;CA-2022-856145;Profitable;94156;FUR-5017;Global Deluxe Stacking Chair;East;2;Corporate;2/23/2022;Second Class;Shipped Late;Colorado;Furniture;3;3;0.14%;21.62;8;740.48;668.55
Stationery;San Antonio;United States;C0088;Customer 18;2/8/2022;CA-2022-963076;Profitable;64308;STA-3992;Eldon Fold 'N Roll Cart;South;3;Consumer;2/10/2022;Standard Class;Shipped on Time;Arizona;Stationery;4;4;0.14%;81.07;1;435.76;392.4
Furniture;San Diego;United States;C0023;Customer 28;2/7/2022;CA-2022-513227;Profitable;73099;FUR-9014;Sauder Classic Café Table;West;4;Consumer;2/10/2022;Standard Class;Shipped on Time;California;Furniture;4;3;0.14%;121.25;10;295.11;284.42
Office Supplies;Denver;United States;C0019;Customer 34;2/11/2022;CA-2022-348785;Not Profitable;45392;OFF-1261;Acco 7-Outlet Surge Protector;West;5;Corporate;2/14/2022;First Class;Shipped Early;California;Office Supplies;5;3;0.08%;122.49;1;326.28;311.93
Office Supplies;Detroit;United States;C0024;Customer 5;2/1/2022;CA-2022-786896;Profitable;66942;OFF-7813;Acco 7-Outlet Surge Protector;Central;6;Consumer;2/5/2022;Standard Class;Shipped Early;Florida;Office Supplies;3;5;0%;32.43;4;711.89;735.98
Furniture;Jacksonville;United States;C0085;Customer 4;2/21/2022;CA-2022-100592;Not Profitable;77804;FUR-3293;Global Deluxe Stacking Chair;South;7;Corporate;2/3/2022;Second Class;Shipped on Time;Ohio;Furniture;3;4;0.17%;58.03;1;362.4;330.22
Office Supplies;New York City;United States;C0054;Customer 95;2/8/2022;CA-2022-203753;Profitable;35806;OFF-5837;Wilson Jones Legal Size Ring Binders;East;8;Corporate;2/3/2022;Standard Class;Shipped on Time;California;Office Supplies;3;3;0.01%;-28.48;5;345.43;377.22
Stationery;Seattle;United States;C0072;Customer 72;1/22/2022;CA-2022-544868;Not Profitable;61822;STA-9453;Rogers File Cart;West;9;Corporate;2/17/2022;Second Class;Shipped Late;North Carolina;Stationery;3;3;0.16%;111.7;8;914.66;884.63
Stationery;Jacksonville;United States;C0059;Customer 28;2/26/2022;CA-2022-921190;Not Profitable;14455;STA-4729;Eldon Fold 'N Roll Cart;South;10;Consumer;2/19/2022;First Class;Shipped Early;Colorado;Stationery;3;3;0.11%;127.28;3;379.02;347.53
Furniture;San Diego;United States;C0018;Customer 85;1/29/2022;CA-2022-730267;Not Profitable;15233;FUR-3354;"Executive Impressions 14"" Two-Tier Wood Desk Organizer";West;11;Corporate;2/11/2022;First Class;Shipped on Time;Pennsylvania;Furniture;3;5;0.01%;44.34;1;53.71;49.53
Furniture;San Antonio;United States;C0099;Customer 66;2/17/2022;CA-2022-915820;Not Profitable;94890;FUR-5088;Eldon Expressions Wood and Plastic Desk Accessories;South;12;Corporate;2/4/2022;Standard Class;Shipped on Time;Michigan;Furniture;3;5;0.16%;112.84;5;839.81;910.22
