Category,City,Country_Region,Customer_ID,Customer_Name,Order_Date,Order_ID,Order_Profitable,Postal_Code,Product_ID,Product_Name,Region,Row_ID,Segment,Ship_Date,Ship_Mode,Ship_Status,State,Sub_Category,Days_to_Ship_Actual,Days_to_Ship_Scheduled,Discount,Profit,Quantity,Sales,Sales_Forecast
Furniture,Henderson,United States,CG-12520,Claire Gute,08-11-21,CA-2021-152156,Profitable,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,South,1,Consumer,11-11-21,Second Class,Shipped On Time,Kentucky,Bookcases,3,3,0.00%,42,2,262,392
Furniture,Henderson,United States,CG-12520,Claire Gute,08-11-21,CA-2021-152156,Profitable,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,2,Consumer,11-11-21,Second Class,Shipped On Time,Kentucky,Chairs,3,3,0.00%,220,3,732,1096
Office Supplies,Los Angeles,United States,DV-13045,Darrin Van Huff,12-06-21,CA-2021-138688,Profitable,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,West,3,Corporate,16-06-21,Second Class,Shipped Late,California,Labels,4,3,0.00%,7,2,15,22
Furniture,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,11-10-20,US-2020-108966,Unprofitable,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,South,4,Consumer,18-10-20,Standard Class,Shipped Late,Florida,Tables,7,6,45.00%,-383,5,958,1434
Office Supplies,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,11-10-20,US-2020-108966,Unprofitable,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,South,5,Consumer,18-10-20,Standard Class,Shipped Late,Florida,Storage,7,6,20.00%,3,2,22,33
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-19,CA-2019-115812,Profitable,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,6,Consumer,14-06-19,Standard Class,Shipped Early,California,Furnishings,5,6,0.00%,14,7,49,73
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-19,CA-2019-115812,Profitable,90032,OFF-AR-10002833,Newell 322,West,7,Consumer,14-06-19,Standard Class,Shipped Early,California,Art,5,6,0.00%,2,4,7,11
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-19,CA-2019-115812,Profitable,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,West,8,Consumer,14-06-19,Standard Class,Shipped Early,California,Phones,5,6,20.00%,91,6,907,1359
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-19,CA-2019-115812,Profitable,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,West,9,Consumer,14-06-19,Standard Class,Shipped Early,California,Binders,5,6,20.00%,6,3,19,28
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-19,CA-2019-115812,Profitable,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,West,10,Consumer,14-06-19,Standard Class,Shipped Early,California,Appliances,5,6,0.00%,34,5,115,172
